,category,title,tags,age_rating,image,description,cas1517,vader_sentiment,representation
211,Signed,Antiques Roadshow - Series 43: Windermere Jetty 2 - Signed,"BBC, iPlayer, TV, Antiques Roadshow, Series 43: Windermere Jetty 2",U,https://ichef.bbci.co.uk/images/ic/1200x675/p09gxkdj.jpg,The Roadshow comes from the shores of Lake Windermere in the Lake District.,0.8469074999999999,Neutral,3.0
209,Signed,Bluey - Series 1: 9. Hotel - Signed,"BBC, iPlayer, TV, Bluey, Series 1: 9. Hotel",U,https://ichef.bbci.co.uk/images/ic/1200x675/p09dr3rh.jpg,"Bluey and Bingo run a crazy hotel, with Dad as their put upon guest.",0.84616,Neutral,
16,CBBC,Malory Towers - Series 2: 13. The Lost Treasure,"BBC, iPlayer, TV, Malory Towers, Series 2: 13. The Lost Treasure",U,https://ichef.bbci.co.uk/images/ic/1200x675/p0b4k3ry.jpg,"Darrell and Sally make a dramatic discovery, but is it enough to save Malory Towers?",0.8444799999999999,Positive,3.0
213,Signed,Dani's House - Series 1: 13. House for Sale - Signed,"BBC, iPlayer, TV, Danis House, Series 1: 13. House for Sale",U,https://ichef.bbci.co.uk/images/ic/1200x675/p089jlnm.jpg,The friends discover to their horror that Danis house is up for sale.,0.844400909090909,Negative,3.0
156,Entertainment,The British Academy Film Awards - 2022: 1. The Ceremony - Extended Version,"BBC, iPlayer, TV, The British Academy Film Awards, 2022: 1. The Ceremony - Extended Version",U,https://ichef.bbci.co.uk/images/ic/1200x675/p0btnhf9.jpg,Rebel Wilson hosts the EE British Academy Film Awards from the Royal Albert Hall.,0.84252,Very positive,3.0
154,Entertainment,Strictly - It Takes Two - Series 19: Episode 25,"BBC, iPlayer, TV, Strictly - It Takes Two, Series 19: Episode 25",U,https://ichef.bbci.co.uk/images/ic/1200x675/p0b1j1mc.jpg,Rylan has more Strictly exclusives ahead of the weekend�s Halloween extravaganza. ,0.8425050000000001,Negative,3.0
147,Entertainment,Strictly - It Takes Two - Series 19: Episode 53,"BBC, iPlayer, TV, Strictly - It Takes Two, Series 19: Episode 53",U,https://ichef.bbci.co.uk/images/ic/1200x675/p0b8ywgb.jpg,Janette Manrara chats to one of the remaining couples.,0.8425050000000001,Negative,3.0
232,Science & Nature,Planet Earth II - 3. Jungles,"BBC, iPlayer, TV, Planet Earth II, 3. Jungles",U,https://ichef.bbci.co.uk/images/ic/1200x675/p04gblmy.jpg,A look at the animals competing to survive in the rich habitats of the planets jungles.,0.837735,Very positive,
226,Science & Nature,Blue Planet II - Series 1: 6. Coasts,"BBC, iPlayer, TV, Blue Planet II, Series 1: 6. Coasts",U,https://ichef.bbci.co.uk/images/ic/1200x675/p05pffv5.jpg,"Coasts are the most changeable of the ocean worlds, but they offer great riches.",0.83772,Very positive,
219,Science & Nature,Planet Earth - 2. Mountains,"BBC, iPlayer, TV, Planet Earth, 2. Mountains",U,https://ichef.bbci.co.uk/images/ic/1200x675/p05ccrb2.jpg,"A look at mountains, from their origins at earths lowest places to the summit of Everest.",0.83772,Positive,
