showId,category,title,tags,age_rating,rating_description,description,representation,duration_txt,duration_sec,first_broadcast,synopsis_small,synopsis_medium,synopsis_large,image
105,From the Archives,Heroes - Series 3: 8. Villains,"BBC, iPlayer, TV, Heroes, Series 3: 8. Villains",15,"strong bloody violence, horror",Hiro tries to discover what drove Arthur Petrelli to create Pinehearst.,3.0,41 mins,2448,12 Nov 2008,Hiro tries to discover what drove Arthur Petrelli to create Pinehearst.,Drama series about people with superpowers. Hiro tries to discover what drove Arthur Petrelli to create Pinehearst and strike at Angela before he died.,"Drama series in which people all over the world deal with their newly discovered superpowers. Hiro follows respected businessman, husband and father Arthur Petrelli in the days before he died, to discover what drove him to create Pinehearst and strike at Angela. Later, a moment unfolds where Sylar, horrified and guilt-ridden, might have stopped his murderous pursuit of abilities if H.R.G. and Elle had swayed from their monstrous assignment.",https://ichef.bbci.co.uk/images/ic/1200x675/p08l06f8.jpg
109,From the Archives,Ashes to Ashes - Series 3: Episode 7,"BBC, iPlayer, TV, Ashes to Ashes, Series 3: Episode 7",12,"alcohol misuse, references to crime, sex, smoking, language, violence, drug misuse",DCI Keats continues to push Alex to find out what really happened to Sam Tyler.,3.0,59 mins,3538,9pm 14 May 2010,DCI Keats continues to push Alex to find out what really happened to Sam Tyler.,"Police drama. Having almost finished his report into Gene Hunt and his team, DCI Keats continues to push Alex to find out what really happened to Sam Tyler.","DCI Jim Keats has almost finished his report into DCI Gene Hunt and his team, but he's still pushing DI Alex Drake to find out what really happened to Sam Tyler. When reports come in of a disturbance at an ANC illegal drinking den Gene heads in all guns blazing. The men at the club are quick to dismiss the disturbance as nothing, but when DI Ray Carling spots blood on the floor and discovers a dead body, it leads Gene into a murder investigation. The ANC members are all sticking together none of them saw a thing. Gene interrogates a young girl, Tsitsi, and it soon seems he's found his killer. But the leader of the ANC group, Tobias, can't stand by and watch the terrified youngster be deported and confesses to the killing himself. Gene and Alex can see through Tobias's lies, but trying to discover the truth leads them into a world of illegal immigration and terrorism.",https://ichef.bbci.co.uk/images/ic/1200x675/p074r32d.jpg
112,From the Archives,One Foot in the Grave - Series 5: 5. Hole in the Sky,"BBC, iPlayer, TV, One Foot in the Grave, Series 5: 5. Hole in the Sky",12,satire,"Margaret comes into some money, and Victor helps a young Dutch girl get back on her feet.",1.0,29 mins,1728,9:05pm 22 Jan 1995,"Margaret comes into some money, and Victor helps a young Dutch girl get back on her feet.","Award-winning sitcom about a grumpy senior citizen. Margaret comes into some money, and Victor helps a young Dutch girl to get back on her feet.","Sitcom about a grumpy senior citizen. Margaret comes into some money, and Victor helps a young Dutch girl to get back on her feet. To add to the usual mayhem, the builders arrive to embark on a loft conversion.",https://ichef.bbci.co.uk/images/ic/1200x675/p09wnl6b.jpg
113,From the Archives,Spooks - Series 7: Episode 7,"BBC, iPlayer, TV, Spooks, Series 7: Episode 7",15,strong violence,Harry is imprisoned and accused by MI5 of being the Russian mole.,3.0,59 mins,3560,10:30pm 24 Nov 2008,Harry is imprisoned and accused by MI5 of being the Russian mole.,Drama series about the British Security Service. Harry is imprisoned and accused by MI5 of being the Russian mole. Lucas goes to Moscow to get to the bottom of Harry's arrest.,"Drama series about the British Security Service. Harry is imprisoned and accused by MI5 of being the Russian mole. Lucas disappears to Moscow in a bid to gather intelligence and get to the bottom of Harry's arrest, whilst the rest of the team try to prove his innocence on the Grid. But with so much evidence against him and a traitor amidst the team, things aren't looking good for Harry.",https://ichef.bbci.co.uk/images/ic/1200x675/p085j75y.jpg
116,Sports,Six Nations Rugby - 2022: Wales v Italy,"BBC, iPlayer, TV, Six Nations Rugby, 2022: Wales v Italy",U,clean,Gabby Logan presents live coverage of Wales v Italy from the Principality Stadium.,,164 mins,9826,1:45pm 19 Mar 2022,Gabby Logan presents live coverage of Wales v Italy from the Principality Stadium.,Gabby Logan presents live coverage from the Principality Stadium as Wales seek to end their Six Nations campaign in style against Italy.,"Gabby Logan presents live coverage from the Principality Stadium as Wales seek to end their Six Nations campaign in style against Italy.The beleaguered Italians have finished bottom of the Six Nations table in each of the last six tournaments, and it will be an uphill battle for them here against the 2021 champions – you have to go back to 2018 for Italy’s last Six Nations try in Wales, and two years ago they suffered a 42-0 defeat in Cardiff.Wales have never lost on home soil to Italy, but their record isn’t perfect – in 2006 there was a rare draw when this fixture finished 18-18.",https://ichef.bbci.co.uk/images/ic/1200x675/p0bvfzdc.jpg
117,Sports,A View from the Terrace - Series 4: Episode 15,"BBC, iPlayer, TV, A View from the Terrace, Series 4: Episode 15",U,clean,New boy Sean Hamilton flashes back to the 2010/11 Scottish football season.,,58 mins,3480,10:30pm 11 Mar 2022,New boy Sean Hamilton flashes back to the 2010/11 Scottish football season.,"An irreverent look at the world of Scottish football, from the top of the pile to the dogfights. New boy Sean Hamilton flashes back to the 2010/11 Scottish football season.",No data found,https://ichef.bbci.co.uk/images/ic/1200x675/p0btvpwp.jpg
118,Sports,The Women's Football Show - 2021/22: 13/03/2022,"BBC, iPlayer, TV, The Womens Football Show, 2021/22: 13/03/2022",U,clean,Arsenal travel to Brighton & Hove Albion and Tottenham host Manchester City in the WSL.,,34 mins,2042,9:30pm 13 Mar 2022,Arsenal travel to Brighton & Hove Albion and Tottenham host Manchester City in the WSL.,Highlights from the FA Women's Super League as Arsenal travel to Brighton & Hove Albion and Tottenham Hotspur host Manchester City.,"Highlights from the FA Women's Super League as Arsenal travel to Brighton & Hove Albion and Tottenham Hotspur host Manchester City. The other fixtures are Reading v Manchester United, Everton v Leicester City, Chelsea v Aston Villa and Birmingham City v West Ham United.",https://ichef.bbci.co.uk/images/ic/1200x675/p0bvbn51.jpg
119,Sports,A View from the Terrace - Series 4: Episode 12,"BBC, iPlayer, TV, A View from the Terrace, Series 4: Episode 12",U,clean,Joel has a revolutionary idea to end the managerial merry-go-round.,,58 mins,3480,10:30pm 18 Feb 2022,Joel has a revolutionary idea to end the managerial merry-go-round.,Graeme and Rob return to help talk up another blockbuster week of Scottish football starting with a celebration of the Scots tearing it up down south.,"Graeme and Rob return to help talk up another blockbuster week of Scottish football starting with a celebration of the Scots tearing it up down south. In Nightmare Fuel we take a look at what lies in wait for Aberdeen’s new manager, and then pick out their Employee of the Week from the land of social media.In See You Later Debater Joel proposes trigger happy chairmen should be made to step into the dugout, we prepare for a Great Big Weekend of Scottish football and then it’s all tied up in the chase for the Eamonn Brophy Lone Wolf Trophy.We go away, away to St Cuthbert Wanderers, meet Shadab Iftikhar, Scotland’s first South Asian manager and reminisce about a goal that never was.",https://ichef.bbci.co.uk/images/ic/1200x675/p0bpyqpk.jpg
125,Sports,Irish Cup - 2021: Semi-Final: Larne v Crusaders,"BBC, iPlayer, TV, Irish Cup, 2021: Semi-Final: Larne v Crusaders",U,clean,Stephen Watson presents coverage of the Irish Cup semi-final between Larne and Crusaders.,,167 mins,10042,3:40pm 18 May 2021,Stephen Watson presents coverage of the Irish Cup semi-final between Larne and Crusaders.,"Stephen Watson presents coverage of the first Irish Cup semi-final between Larne and Crusaders from Mourneview Park, Lurgan.",No data found,https://ichef.bbci.co.uk/images/ic/1200x675/p09jfmjk.jpg
126,Sports,George Best: All by Himself,"BBC, iPlayer, TV, George Best: All by Himself",U,clean,How a reserved young prodigy from Northern Ireland became a global superstar.,,90 mins,5372,19 Jun 2017,How a reserved young prodigy from Northern Ireland became a global superstar.,"Documentary exploring the remarkable life of the footballer George Best, charting how a reserved young prodigy from Northern Ireland became a global superstar.",The story of the reserved young prodigy from Northern Ireland who became a global superstar.This is the feature-length documentary exploring the remarkable life of the footballer George Best.,https://ichef.bbci.co.uk/images/ic/1200x675/p08fj59w.jpg
