,category,title,tags,age_rating,image,description,cas1214,vader_sentiment
84,Documentaries,The Mating Game - Series 1: 4. Freshwater: Timing Is Everything,"BBC, iPlayer, TV, The Mating Game, Series 1: 4. Freshwater: Timing Is Everything",PG,https://ichef.bbci.co.uk/images/ic/1200x675/p09z41sr.jpg,The cycle of freshwater triggers spectacular mating rituals and fierce competition.,0.725735,Neutral
76,Documentaries,Dynasties - Series 1: 5. Tiger,"BBC, iPlayer, TV, Dynasties, Series 1: 5. Tiger",PG,https://ichef.bbci.co.uk/images/ic/1200x675/p06n2ddt.jpg,A tigress must protect her cubs while battling rivals who want to overthrow her.,0.72468,Negative
239,Science & Nature,Fantastic Beasts: A Natural History,"BBC, iPlayer, TV, Fantastic Beasts: A Natural History",PG,https://ichef.bbci.co.uk/images/ic/1200x675/p0bpqpn6.jpg,Stephen Fry discovers the fascinating stories behind the world’s most fantastic beasts.,0.723115,Very positive
62,Films,The Thing from Another World,"BBC, iPlayer, TV, The Thing from Another World",PG,https://ichef.bbci.co.uk/images/ic/1200x675/p08xzmvb.jpg,Scientists at a lonely Arctic outpost dig up an alien from the permafrost.,0.72098,Very negative
225,Science & Nature,Frozen Planet - 2. Spring,"BBC, iPlayer, TV, Frozen Planet, 2. Spring",PG,https://ichef.bbci.co.uk/images/ic/1200x675/p01h6jw0.jpg,"Spring arrives in the polar regions, and the sun appears after an absence of five months.",0.71869,Positive
21,CBBC,Wizards vs Aliens - Series 2: 8. The Curse of Crowe Part Two,"BBC, iPlayer, TV, Wizards vs Aliens, Series 2: 8. The Curse of Crowe Part Two",PG,https://ichef.bbci.co.uk/images/ic/1200x675/p01lty4k.jpg,Tom and Benny suffer from Gemma Ravens curse.,0.7051333333333333,Very negative
10,CBBC,Wizards vs Aliens - Series 1: 6. Rebel Magic - Part Two,"BBC, iPlayer, TV, Wizards vs Aliens, Series 1: 6. Rebel Magic - Part Two",PG,https://ichef.bbci.co.uk/images/ic/1200x675/p01hzm5g.jpg,Tom and Jackson take the fight to the Nekross.,0.7045333333333332,Very negative
25,Films,Amundsen,"BBC, iPlayer, TV, Amundsen",12,https://ichef.bbci.co.uk/images/ic/1200x675/p08yzglx.jpg,Film drama that tells the life story of Norwegian polar explorer Roald Amundsen.,0.689335,Very negative
102,From the Archives,Death in Paradise - Series 2: Episode 8,"BBC, iPlayer, TV, Death in Paradise, Series 2: Episode 8",12,https://ichef.bbci.co.uk/images/ic/1200x675/p07tdv25.jpg,DI Poole and his colleagues find themselves up against a daring and elusive opponent.,0.67568,Very negative
90,From the Archives,Waterloo Road - Series 9: Episode 20,"BBC, iPlayer, TV, Waterloo Road, Series 9: Episode 20",12,https://ichef.bbci.co.uk/images/ic/1200x675/p01thb59.jpg,Kaceys boxing career is jeopardised when a challenge by Gabriella goes horribly wrong.,0.6755292857142857,Very negative
