showId,category,title,tags,age_rating,rating_description,description,representation,duration_txt,duration_sec,first_broadcast,synopsis_small,synopsis_medium,synopsis_large,image
22,CBBC,Wizards vs Aliens - Series 2: 8. The Curse of Crowe Part Two,"BBC, iPlayer, TV, Wizards vs Aliens, Series 2: 8. The Curse of Crowe Part Two",PG,contains mild fantasy violence and threat,Tom and Benny suffer from Gemma Ravens curse.,3.0,28 mins,1706,5pm 19 Nov 2013,Tom and Benny suffer from Gemma Raven's curse.,"Fantasy adventure drama. Tom and Benny suffer from Gemma Raven's curse - they hate each other, without knowing why.","Tom and Benny suffer from Gemma Raven's curse - they hate each other, without knowing why. But can friendship overcome the darkest powers of magic?",https://ichef.bbci.co.uk/images/ic/1200x675/p01lty4k.jpg
23,CBBC,Danger Mouse - Series 1: 24. Escape from Big Head,"BBC, iPlayer, TV, Danger Mouse, Series 1: 24. Escape from Big Head",U,very mild fantasy action,The Big Head base computer locks up everyone in a maximum security prison.,,11 mins,664,7:25am 24 Feb 2016,The Big Head base computer locks up everyone in a maximum security prison.,"Animated series. Squawkencluck reboots the Big Head base computer, which immediately locks up everyone in a maximum security prison.","Squawkencluck reboots the now 100 per cent reliable Big Head base computer, which immediately locks up everyone in a maximum security prison.",https://ichef.bbci.co.uk/images/ic/1200x675/p03jvhpy.jpg
24,CBBC,Horrible Histories - Series 7: 8. Ruthless Rulers,"BBC, iPlayer, TV, Horrible Histories, Series 7: 8. Ruthless Rulers",PG,"mild comic violence, rude humor",A look at the most ruthless rulers of all time. Featuring Henry VIII and the Vikings.,3.0,28 mins,1690,5:25pm 4 Sep 2017,A look at the most ruthless rulers of all time. Featuring Henry VIII and the Vikings.,"A look at the most ruthless rulers of all time. Hold your nose in Versailles, because Louis XIV hasn't got any loos.","Get ready for some serious bad behaviour, as Horrible Histories brings you the most ruthless rulers of all time. Henry VIII is so demanding he has a brick wall built at his bedroom door every night, those vicious Vikings find that sorry seems to be the hardest word, hold your nose in Versailles because Louis XIV hasn't got any loos, and rock out with the Warlords from Hell - take it away Genghis and Vlad.",https://ichef.bbci.co.uk/images/ic/1200x675/p09xsqbf.jpg
25,CBBC,Danger Mouse - Series 1: 5. Pink Dawn,"BBC, iPlayer, TV, Danger Mouse, Series 1: 5. Pink Dawn",U,very mild fantasy action,Supervillain the Princess is determined to pinkify the world.,,11 mins,666,2 Oct 2015,Supervillain the Princess is determined to pinkify the world.,Animated series. Supervillain the Princess is determined to pinkify the world. Only Danger Mouse dressed as a little girl can save us.,Animated series. Supervillain the Princess is determined to pinkify the world. Only Danger Mouse dressed as a little girl can save us!,https://ichef.bbci.co.uk/images/ic/1200x675/p033cvzh.jpg
50,Films,Man on the Moon,"BBC, iPlayer, TV, Man on the Moon",15,contains strong language,"Biopic of controversial comedian and star of Taxi and Saturday Night Live, Andy Kaufman.",3.0,110 mins,6578,1999,"Biopic of controversial comedian and star of Taxi and Saturday Night Live, Andy Kaufman.","Biopic of controversial comedian Andy Kaufman. Star of Taxi and Saturday Night Live, Kaufman's unorthodox humour was often misunderstood. With Jim Carrey and Courtney Love.","Biopic of controversial comedian Andy Kaufman, starring Jim Carrey. Star of Taxi and Saturday Night Live, Kaufman was a troubled individual for whom the boundaries of reality and stage performance were often blurred. Frequently misunderstood, even by those closest to him, he remained a strictly maverick entertainer until his untimely death from lung cancer in 1984.",https://ichef.bbci.co.uk/images/ic/1200x675/p05mwz8b.jpg
53,Films,Blackbeard the Pirate,"BBC, iPlayer, TV, Blackbeard the Pirate",PG,contains moderate violence,Swashbuckling adventure set on the high seas in the 17th century. Starring Robert Newton.,3.0,99 mins,5913,1952,Swashbuckling adventure set on the high seas in the 17th century. Starring Robert Newton.,Swashbuckler set on the high seas in the 17th century. Edward Maynard sets out to claim a fortune by posing as a surgeon on Blackbeard's ship.,"Swashbuckling adventure set on the high seas in the 17th century, when the Spanish Main was plagued with piracy. The English monarch, enraged by the infamous buccaneer Blackbeard's interference with legitimate commerce, dispatches Sir Henry Morgan to confront the pirate and his crew of cut-throats. But having kidnapped Sir Henry's bride, Blackbeard now holds a worthwhile hostage.",https://ichef.bbci.co.uk/images/ic/1200x675/p08dtdhm.jpg
66,Documentaries,Around the World in 80 Days - 7. Dateline to Deadline,"BBC, iPlayer, TV, Around the World in 80 Days, 7. Dateline to Deadline",PG,mild sex references,"With 22 days to go, delays, misunderstandings and a bomb impede Michael Palins journey.",3.0,49 mins,2930,9:30pm 22 Nov 1989,"With 22 days to go, delays, misunderstandings and a bomb impede Michael Palin's journey.","With only 22 days to go, delays, misunderstandings and a suspect bomb all conspire to impede Michael Palin's journey around the globe.",No data found,https://ichef.bbci.co.uk/images/ic/1200x675/p07nl4g5.jpg
67,Documentaries,Natural World - 2018-2019: 6. Humpback Whales: A Detective Story,"BBC, iPlayer, TV, Natural World, 2018-2019: 6. Humpback Whales: A Detective Story",U,clean,Documentary about our relationship with whales and their future alongside us.,,59 mins,3548,8 Feb 2019,Documentary about our relationship with whales and their future alongside us.,Nature documentary. Tom Mustill returns to California to find out whether the humpback whale that nearly killed him three years earlier was deliberately trying to hurt him.,"On 12 September 2015, a 30-ton humpback whale breached and landed on Tom Mustill and his friend Charlotte Kinloch as they paddled a sea kayak in Monterey Bay, California. Incredibly, both survived the incident, but the near-death experience haunted documentary maker Tom and left him wondering if the whale was deliberately trying to hurt them. To find the answer, Tom returned to California in 2018 to investigate. Tom meets those who have survived similar hair-raising encounters and the experts who know the whales best. What he discovers raises far bigger questions, not just about what happened that day but also about our relationship with whales and their future alongside us.",https://ichef.bbci.co.uk/images/ic/1200x675/p06zlc8r.jpg
87,Documentaries,Natural World - Short Versions: Raising Sancho,"BBC, iPlayer, TV, Natural World, Short Versions: Raising Sancho",U,clean,The touching story of a rescued giant otter cub being raised by a Brazilian naturalist.,,4 mins,253,5 Aug 2020,The touching story of a rescued giant otter cub being raised by a Brazilian naturalist.,Wildlife documentary. The touching story of a giant otter cub called Sancho who was rescued and is being raised by Brazilian naturalist Carolina Vargas.,No data found,https://ichef.bbci.co.uk/images/ic/1200x675/p08ynk96.jpg
88,Documentaries,One Pair of Eyes - Georgia Brown: Who Are the Cockneys Now?,"BBC, iPlayer, TV, One Pair of Eyes, Georgia Brown: Who Are the Cockneys Now?",PG,language,"Singer and actress Georgia Brown revisits her old home in Whitechapel, East London. (1968)",1.0,42 mins,2530,17 Aug 1968,"Singer and actress Georgia Brown revisits her old home in Whitechapel, East London. (1968)","First transmitted in 1968, Georgia Brown revisits her childhood Whitechapel home to see how the Jewish community is coming to terms with a more diverse immigrant population.","First transmitted in 1968, singer and actress Georgia Brown revisits her old childhood home in Whitechapel, East London and notes the fading presence of the Jewish immigrant community. Brown discusses the recent change in the area's increasingly diverse population and ponders the question, ""Who are the cockneys now?""",https://ichef.bbci.co.uk/images/ic/1200x675/p01hhbxx.jpg
